運用ID,運用番号,出庫,入庫,列車1,列車2,列車3,列車4,列車5,列車6,列車7,列車8,列車9,列車10,列車11,列車12,列車13,列車14,列車15,列車16,列車17,列車18,列車19,列車20,列車21,列車22,列車23,列車24,列車25,列車26,列車27,列車28,列車29,列車30,列車31,列車32,列車33,列車34,列車35,列車36,列車37,列車38,列車39,列車40,列車41,列車42,列車43,列車44,列車45,列車46,列車47,列車48,列車49,列車50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji01,1,鶴見線 オフィス,鶴見3番,501,600,601,600B,601B,700,701,700B,801,800,801B,弁天橋入庫,1700,1701,1700B,1801,1800,1901,1900,1901B,2000,2001,2000B,2101,2100,2101B,2200,2201,2200B,2301,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji03,3,鶴見3番,鶴見線 オフィス,503,602,603,602B,703,702,703B,802,803,802B,903,弁天橋入庫,1602,1603,1702,1703,1702B,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji05,5,鶴見線 オフィス,鶴見線 オフィス,604,605,604B,605B,704,705,804,805,804B,905,弁天橋入庫,1604,1705,1704,1705B,1804,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji07,7,鶴見線 オフィス,鶴見線 オフィス,606,607,606B,707,706,707B,806,807,806B,807B,906,907,1006,1007,1006B,1107,1106,1107B,1206,1207,1206B,1307,1306,1307B,1406,1407,1406B,1507,1506,1507B,1606,1607,1606B,1707,1706,1707B,1806,1807,1806B,1907,1906,1907B,2006,2007,2106,2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji09,9,鶴見線 オフィス,鶴見線 オフィス,608,609,608B,709,708,709B,808,809,808B,909,908,909B,弁天橋入庫,1608,1609,1608B,1709,1708,1709B,1808,1809,1808B,1809B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji11,11,鶴見線 オフィス,鶴見線 オフィス,610,611,710,711,710B,811,810,811B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji13,13,鶴見線 オフィス,鶴見線 オフィス,612,713,712,713B,712B,813,812,813B,912,913,912B,1013,1012,1013B,1112,1113,1112B,1213,1212,1213B,1312,1313,1312B,1413,1412,1413B,1512,1513,1512B,1613,1612,1613B,1712,1713,1712B,1813,1812,1813B,1912,1913,1912B,2013,2012,2013B,2112,2113,2112B,2213,2212,2213B,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnh01,01H,鶴見線 オフィス,鶴見線 オフィス,回送,回送,411H,500H,501H,600H,601H,610H,611H,620H,701H,700H,711H,710H,721H,800H,801H,810H,811H,820H,901H,900H,911H,910H,921H,920H,1001H,1000H,1011H,1100H,1101H,1110H,1201H,1200H,1211H,1300H,1301H,1310H,1401H,1400H,1411H,1500H,1501H,1510H,1601H,1600H,1611H,1700H,1701H,1710H,1711H,1720H,1801H,1800H,1811H,1810H,1821H,1820H,1901H,1900H,1911H,1910H,2001H,2000H,2011H,2100H,2101H,2110H,2111H,2200H,2201H,2210H,2211H,回送,回送
jnh03,03H,鶴見線 オフィス,鶴見線 オフィス,回送,回送,613H,702H,703H,712H,713H,722H,803H,802H,813H,回送,回送,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,