列車番号,,411H,501H,601H,611H,613H,701H,703H,711H,713H,721H,803H,801H,813H,811H,901H,911H,921H,1001H,1011H,1101H,1201H,1211H,1301H,1401H,1411H,1501H,1601H,1611H,1701H,1711H,1801H,1811H,1821H,1901H,1911H,2001H,2011H,2101H,2111H,2201H,2211H
種別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発駅,,小田栄,浜川崎,浜川崎,浜川崎,小田栄,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎,浜川崎
終着駅,,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手,尻手
浜川崎,発,,527,612,637,,701,715,728,741,755,806,818,829,841,904,925,948,1017,1057,1137,1217,1257,1337,1417,1457,1537,1617,1647,1712,1735,1800,1822,1844,1913,1944,2017,2050,2121,2154,2230,2259
小田栄,着,501,529,614,638,650,703,717,730,743,757,808,820,831,843,905,926,950,1019,1058,1138,1219,1258,1339,1419,1459,1538,1618,1648,1713,1736,1801,1823,1845,1915,1946,2018,2052,2123,2156,2232,2301
小田栄,発,501,529,614,638,650,703,717,730,743,757,808,820,831,843,905,926,950,1019,1058,1138,1219,1258,1339,1419,1459,1538,1618,1648,1713,1736,1801,1823,1845,1915,1946,2018,2052,2123,2156,2232,2301
川崎新町,着,503,531,616,640,652,705,718,731,745,758,810,821,833,846,907,928,952,1021,1100,1140,1221,1300,1341,1421,1501,1540,1620,1650,1715,1738,1803,1825,1847,1917,1948,2020,2054,2125,2158,2234,2303
川崎新町,発,503,531,616,640,652,705,718,731,745,758,810,821,833,846,907,928,952,1021,1100,1140,1221,1300,1341,1421,1501,1540,1620,1650,1715,1738,1803,1825,1847,1917,1948,2020,2054,2125,2158,2234,2303
八丁畷,着,505,532,617,642,654,707,720,733,747,800,812,823,835,848,909,930,953,1022,1102,1142,1222,1302,1342,1422,1502,1542,1622,1652,1717,1740,1805,1827,1849,1918,1949,2022,2055,2126,2200,2235,2304
八丁畷,発,505,532,617,642,654,707,720,733,747,800,812,823,835,848,909,930,953,1022,1102,1142,1222,1302,1342,1422,1502,1542,1622,1652,1717,1740,1805,1827,1849,1918,1949,2022,2055,2126,2200,2235,2304
尻手,着,507,535,620,644,656,709,723,736,749,803,814,826,837,850,911,932,956,1025,1104,1144,1225,1304,1345,1425,1505,1544,1624,1654,1719,1742,1807,1829,1851,1921,1952,2024,2058,2129,2202,2238,2307